allele		the two alternative forms of a gene found at the same place on a chromosome.			
amino-acid		a simple organic compound, building blocks of proteins			
autosome		the 22 pairs of chromosomes apart from the sex chromosomes			
candidate gene		any gene thought likely to cause a disease			
chromosome		a DNA molecule with part of the genetic material (genome) of an organism			
codon		a sequence of 3 nucleotides which form a unit of genetic code in a DNA/RNA molecule			
crossing over		exchange of genes between homologous chromosomes			
deletion		type of mutation involving genetic material			
deoxyribonucleic acid (DNA)		A nucleic acid that encodes the genetic instructions used in the development and functioning of all known living organisms.			
dizygotic twin		non identical twin			
DNA replication		The biological process of producing two identic replicas of DNA from one original DNA molecule			
DNA transcription		The process by which the information in a strand of DNA is copied into a new molecule of messenger RNA (mRNA)			
DNA translation		process of protein synthesis, conversion of mRNA to protein			
dominant trait		in genetics; a trait that will appear in offspring if only one of the parents contribute it			
endophenotype		any hereditary characteristic that is normally associated with some condition but is not a direct symptom of that condition			
epigenetics		Refers to functional modifications of the genome that do not involve a change in the DNA sequence itself.			
evolution		The change in inherited characteristics over successive generations			
fossil record		Total set of fossils (remains of a prehistoric plant/ animal embedded in rock) and the information derived from them.			
gene		an instruction to make proteins			
genome		an organism's complete set of DNA			
genotype		the genetic constitution of an individual organism			
heritability		the extent to which differences in a trait can be attributed to genetic material. The estimates range from 0 to 1.			
insertion		the addition of genetic material resulting in a mutation			
karyotype		the complete set of chromosomes in the cell nucleus			
Mendelian inheritance		Inheritance pattern in which a genetic trait is passed from parent to offspring and is either dominant of receive			
messenger RNA (mRNA)		a type of RNA that transports genetic material from DNA to the ribosome, where it specifies the sequence of amino acids to form a protein			
mutation		a change within the DNA sequence, as a result of environmental factors and errors made within the copying process			
natural selection		a Darwinian theory on origin of the species, as well as the process by which an individual producing more offspring will pass over his/her characteristics in the species			
nucleotide		molecule building block of DNA/RNA, A; T(U); C and G			
Out of Africa theory		a view that humans descended from ancestors originating in Africa and then ventured further in the search for resources			
phenotype		the observable characteristics of an individual resulting from the interaction of its genotype with the environment			
polygenic disorder		a disorder likely associated with the effects of multiple genes in combination with lifestyles and environmental factors, e.g. depression and coronary artery disease			
protein synthesis		the creation of proteins derived from DNA sequences. The DNA unravels for transcription into mRNA. A ribosome reads the code and translates it into amino acids which are bound to tRNA.			
qualitative trait		a trait that you either have or don't have (without a gene you will not have that trait) e.g. blood type, certain enzymes or defects			
quantitative trait		rather than being present or absent, the traits are about how much it one has; e.g. intelligence			
recessive trait		a trait that must be contributed by both parents in order to appear in the offspring			
ribonucleic acid (RNA)		made of single helix, responsible for coding, recoding and regulation of genes. T nucleotide is replaced by U nucleotide			
ribosome		molecule made of ribosomal RNA and protein, responsible for protein synthesis			
sex chromosome		23rd pair of chromosomes determining sex of an organism, Y chromosome determines male sex			
Single Nucleotide Polymorphism (SNP)		a variation in a single nucleotide that occurs at a specific position in the genome, where each variation is present to some degree within a population			
structural similarity		refers to the same mechanism of building up structures			
telomeres		region at the end of a chromosome, responsible for protecting it from damage, shortens with the organism getting older			
transfer RNA (tRNA)		a type of RNA molecule that helps decode a mRNA sequence into a protein. Has an amino acids attached to it and a codon on the other side			
translocation		a chromosone alteration in which a whole chromosome or segment of a chromosome becomes attached to or interchanged with another whole chromosome or segment			
twin studies		a method used in behavioural genetics to determine the genetic basis of a trait/disorder using mono- and dizygotic pairs			
absorptive phase		phase when nutrients are being absorped from the gastro-intestinal tract into the bloodstream			
anabolic reaction		generating complex molecules from simple ones to store its energy			
anorexia nervosa		an eating disorder characterized by low weight, fear of gaining weight, and a strong desire to be thin, resulting in food restriction.			
anorexigenic		hunger suppressant			
aphagia		the inability or refusal to swallow			
bulimia		an eating disorder characterized by binge eating followed by purging			
cachexia		loss of weight, muscle atrophy, fatigue, weakness, and significant loss of appetite in someone who is not actively trying to lose weight			
carbohydrate		biomolecule of mono-, di- and polysaccharides which is the most important source of energy from food.			
catabolic reactions		breakdown of complex molecules to release its energy			
cellular respiration		metabolic process of converting biomolecules (glucose, α-ketoacids, ketones) into energy			
digestion		the whole process of food intake and absorbing nutrients			
disaccharide		a sugar formed when two monosaccharides (simple sugars) are joined			
extracellular fluid		fluids in the body outside the cells			
fasting phase /post-absorptive phase		begins after about four hours of fasting, stored nutrients are mobilized, maintaining a stable blood glucose supply			
fatty acids		biomolecule of a long chain of carbon atoms, derived from triglycerides or phospholipids			
glucagon		a pancreatic hormone which increases glucose and fat levels in the bloodstream			
gluconeogenesis		new glucose made from amino-acids (α-ketoacids) and fatty acids (glycerol)			
glycogen		storage form of carbohydrates in animals, only 1% of glucose is stored this way			
glycogenesis		the new formation and production of glycogen			
glycogenolysis		the process of releasing glucose from glycogen			
high density lipoprotein (HDL)		a unit transporting fat in the blood. Aka 'the good' cholesterol because it can transport fat molecules out of artery walls			
homeostasis		any self-regulating process by which biological systems tend to maintain stability while adjusting to conditions that are optimal for survival			
hyperphagia		abnormally increased appetite			
hypovolaemic thirst		thirst due to decrease of intravascular fluid			
insulin		pancreas hormone which stimulates the uptake of glucose by cells, conversion of glucose to glycogen and fat, conversion of amino-acids to proteins, storage of glycogen, fat, and proteins			
interstitial fluid		the fluid between cells			
intracellular fluid		the fluid inside cells			
intravascular fluid		the fluid in the bloodvessels			
ketones		fuel source in the body when there is an insufficient amount of glucose			
leptin		anorexigenic hormone derived from fat tissue, causing a reduction in feeding behaviour			
lipids		a biomolecule of a fat-like substance that is water unsoluble. Involved in storing energy, signaling and acting as structural components of cell membranes.			
lipogenesis		the process of creating fatty acids			
lipolysis		the breakdown of lipids			
lipoprotein		particles that transport cholesterol and triglycerides in the blood stream			
low density lipoprotein (LDL)		a unit transporting fat in the blood. Aka 'the bad' cholesterol because it is involved in atherosclerosis			
metabolism		the set of life-sustaining chemical transformations within the cells of organisms			
monosaccharide		the simplest form of sugar comprising a single molecule			
obesity		the state of being overweight, usually defined by a BMI over 30			
orexigenic		a substance that increases appetite			
osmolality		the concentration of particles dissolved in a fluid			
osmotic thirst		thirst due to extracellular fluid becoming more 'salty'			
pH		a numeric scale used to specify the acidity and basicity			
polysaccharide		a carbohydrate whose molecules consist of more than two sugar molecules bonded together			
post-absorptive phase		begins after about four hours of fasting. Stored nutrients are mobilized, maintaining a stable blood glucose supply			
satiety		a state of being completely full			
acrosome		Membrane of the tip of sperm cell. It contains enzymes that digest the outer surface of the egg cell, so it can inject its DNA			
apoptosis		The progress of programmed cell death			
arborization		the process where neurons form new dendritic branches to create new synapses			
axon elaboration		the process of arborization and learning increases dendritic innervation			
blastocyst		developmental phase app. 5 days after fertalization when a cluster of cells consisting of an inner cell mass, which forms the embryo.			
blastomere		a type of cell produced by cell division of the zygote after fertilization and is an essential part of blastula formation			
central canal		ependymal canal; the cerebrospinal fluid-filled space that runs longitudinally through the length of the entire spinal cord			
critical periods		a maturational stage in the lifespan of an organism during which the nervous system is especially sensitive to certain environmental stimuli			
Development Origins of Health & Disease or DOH(B)aD hypothesis		Barker Hypothesis; growth retardation, low birth weight, and premature birth have a causal relationship to the origins of hypertension, coronary heart disease, and non-insulin-dependent diabetes, in middle age			
DNA-methylisation		DNA methylation is a process by which methyl groups are added to the DNA molecule. Methylation can change the activity of a DNA segment without changing the sequence			
ectoderm		the outer layer of embryonic cells in the early embryo			
endoderm		the inner layer of embryonic cells in the early embryo			
foetal alcohol syndrome		a condition that can occur in a person whose mother drank alcohol during the pregnancy			
folic acid		a vitamin that decreases the risk for a baby to have neural tube defect			
gene silencing		Potentially heritable changes without genetic modifications in the DNA itself			
gene-environment interaction		the response of different genotypes to environmental variation			
glucocorticoids		group of steroid hormones (including cortisol) involved in maintaining blood glucose levels during stress. Has inhibitory effects on aspects of immune function			
hypoxia		a condition in wich the body or a region of the body is deprived of adequate oxygen supply			
mesoderm		the middle layer of the three primary germ layers in the early embryo			
migration		stage of neural development in which cells of the brain arriving to their specific locations. They align themselves with the cells at their destination and form the structures of the brain.			
myelination		the process of myelin wrapping around the axons to increase the speed of transmission between the neurons			
nerve growth factor		proteins that are important for the growth, maintenance and survival of certain target neurons			
neural crest		a group of ectodermal cells that develop into the spinal and autonomic ganglia and connective tissue around the CNS			
neural plasticity		the ability of neurons to adapt and be molded			
neural plate		part of the neural tube. During the development, it folds in on itself.			
neural proliferation		phase in brain development in which new cells are generated			
neural tube		tube formed from neural plate, will become the brain and spinal cord			
neurulation		formation of the neural tube			
ootid		Ovum containing the nuclei of female and male, haploid number of chromosomes			
ovum		a mature female reproductive cell			
pre-eclampsia		a pregnancy complication characterized by high blood pressure and signs of damage to another organ system, most often the liver and kidneys.			
primitive streak		structure that forms in the blastula during the early stages of mammalian embryonic development			
progenitor cell		cell, more specific than a stem cell, that differentiates into it's target-cell			
radial glial cells		nerve cell cluster; provide a network of guidewires and support structures that the migrating neuron wraps around and follows to its destination			
reprogramming		erasure and remodelling of epigenetic markers during mammalian development or in cell structure			
resilience		the capacity to return to a previous state of wellbeing			
somites		a division of the body in an animal or embryo			
spina bifida		a birth defect where there is incomplete closing of the backbone and membranes around the spinal cord			
stem cells		an undifferentiated cell of a multicellular organism which is capable of giving rise to indefinitely more cells of the same type			
synaptic consolidation		late-phase long-term potentiation; a process within the first few hours after learning enabling synapses to retain their strength for a much longer time (days to years)			
synaptic elimination		pruning; use it or lose it; termination of cells that won't be used so much			
synaptogenesis		to create new synapses			
teratogens		any agent that can disturb the development of an embryo or fetus.			
thaliomide		a drug formerly used as a sedative, causes congenital malformation or absence of limbs in children whose mothers took the drug during early pregnancy			
uterus		womb; a hollow muscular organ of the female reproductive system that is responsible for the development of the embryo and fetus			
action potential		the depolarization of the membrane potential that sends a signal down the action of a neuron			
adenosine diphosphate (ADP)		a component of ATP, with one less phosphate, it can be converted again into ATP			
adenosine triphosphate (ATP)		a nucleotide compound that provides storage of energy within cells			
adrenal gland		small gland located on top of the kidney, releases cortisol (from cortex) and adrenalin (from medulla)			
adrenocorticotrophic hormone (ACTH)		a hormone of the anterior pituitary that stimulates the production of steroids in the adrenal cortex			
autoreceptor		a presynaptic type of receptor involved in a negative feedback loop in signal transduction. It is only sensitive to the neurotransmitters or hormones released by the neuron on which it is located			
catecholamines		a monoamine family of neurotransmitters: dopamine, noradrenaline and adrenaline, created from the amino-acid tyrosine			
concentration gradient		particles move from an area of high concentration to an area of low concentration			
cortisol		stress hormone released by adrenal cortex upon activation by ACTH			
cytoskeleton		part of the cell made up of microtubules, actin filaments, and intermediate filaments. These structures give the cell its shape, help organise the cells parts and provide a basis for movement and cell division.			
endocytosis		form of active transport in which a cell transports molecules into the cell			
endoplasmic reticulum		a type of cell organelle forming an interconnected network of flattened, membrane-enclosed sacs. Rough: Contains ribosomes which assemble proteins. Smooth: Production and metabolism of fats and steroid hormones.			
enzyme		protein that speeds up the rate of a chemical reaction in living organisms. E.g. can 'cut' or 'paste' (parts of) other molecules.			
exocytosis		export of materials out of a cell via secretory vesicles. The vesicles fuse with the plasma membrane			
extracellular		the outside of a cell			
golgi-apparatus		a cell organelle that helps process and package proteins and lipid molecules. It's the final step of adapting proteins for use.			
G-protein coupled receptor		largest and most diverse type of receptor. These cells surface receptors act like an inbox for messages in the form of light energy, peptides, lipids, sugars and proteins			
hormone		chemical substane formed in specialized glands or cells that affect targets often some distance away			
hydrophobic		hates water and loves oil			
hyper-thyroidism		overactive (thyroid) gland, producing an excessive amount of (thyroid) hormones			
hypo-thyroidism		under-active (thyroid) gland, producing a smaller amount of (thyroid) hormones			
intracellular receptor		a receptor inside the cell, thus not located in the cell membrane			
ionotropic receptor		a receptor which forms an ion channel pore			
ligand		a chemical/drug/neurotransmitter that can bind to a receptor			
ligand-gated ion channel		a group of transmembrane receptors upon activation by a ligand opens an ion channel			
lipophilic		loves oil, hates water			
lysosome		vesicles in the cytoplasm that contain breakdown enzymes, involved in recycling			
metabotropic receptor		a receptor that acts through the release of a second messenger			
mitochondrium		a structure in cells which provides respiration and energy production, which is ATP. Only structure in the body that has own DNA which is inherited from the mother.			
monoamine hormone		hormone derived from a single amino acid by the use of enzymes. It's one of the three classes of hormones.			
negative feedback loop		a reaction that causes a decrease in function. Often it causes the output of a system, e.g. hormone release, to be lessened			
neurotransmitter		chemicals which send out signals across a synapse from one neuron to another			
nucleus		the DNA-containing unit of a cell			
oxytocin		a peptide hormone produced by the hypothalamus and stored and secreted by the posterior pituitary gland			
paracrine signalling		a form of cell-to-cell communication in which a cell produces a signal to induce changes in nearby cells, altering the behavior of those cells			
peptide hormone		hormone that consist of peptides and have an effect on the endocrine system of animals			
phospholipid bilayer		A two-layered arrangement of phosphate and lipid molecules that form a cell membrane, the hydrophobic lipid ends facing inward and the hydrophilic phosphate ends facing outward.			
pituitary gland		the major endocrine gland. The master gland. Divided into anterior and posterior reigions. Secretes hormones.			
receptor		proteins which are configured to receive a particular endogenous chemical			
retrograde signaling		a process in which the postsynaptic neuron communicates with the presynaptic neuron which may inhibit further release			
steroid hormone		a hormone class synthesized from cholesterol in the gonads and adrenal glands			
thyroid hormone		hormone produced by the thyroid gland primarily responsible for regulation of metabolism. Enhances the effect of adrenaline			
transmembrane receptor		receptor embedded in the cell membrane			
transporter protein		proteins spanning the cell membrane that promote the reabsorption of the released neurotransmitter into the presynaptic cytoplasm. E.g. SERT, NET, DAT			
vesicles		a small spherical cellular container for transport and storage, e.g. of neurotransmitters			
social hierarchy		"an arrangement of a group in which the members are represented as being ""above"", ""below"" or ""at the same level"" as one another"			
social status		the position or rank of a person or group within the society			
HPA-axis		a complex set of direct influences and feedback interactions among three endocrine glands; - hypothalamus, - pituitary gland, - adrenal gland. It controls reactions to stress and regulates many body processes			
acute coronary syndrome		any group of clinical symptoms compatible with acute myocardial ischemia. Comprises myocardial infarction and unstable angina			
acute psychological risk factor		Outbursts of anger, mental activity, acute distress that may act as triggers of cardiac events within one hour.			
angina pectoris		chest pain due to an inadequate supply of oxygen to the heart muscle			
atherosclerosis		a disease of the arteries characterized by the deposition of fatty material on their inner walls			
cardiac arrythmia		an irregular heartbeat, too fast or too low			
cardiovascular disease		conditions that involve narrowed or blocked blood vessels (not just in the heart) that can lead to a heart attack, chest pain (angina) or stroke			
cardiovascular disease markers		factors predicting coronary heart diseases, including cholesterol, hypertension, diabetes, smoking, and family history			
cardiovascular system		an organ system that permits blood to circulate and transport nutrients, oxygen, carbodioxide, hormones and blood cells to and from the cells in the body to provide nourishment			
chronic psychological risk factor		psychological risk factors that promote gradual progression of coronary artery disease e.g. personality traits and adverse socioenvironmental circumstances			
coronary artery		the arteries that lie on top of the heart muscle and supply it with blood for it to function (contract) properly			
coronary artery disease		heart disease; condition as a result of plaque buildup in the arteries of the heart			
distress		stress evoked by negative emotion or events			
(electrocardiogram) ECG		the process of recording the electrical activity of the heart over a period of time using electrodes placed on the skin			
episodic psychological risk factor		psychologic risk factors that last from several weeks to twoyears .e.g. depression, exhaustion, episodes of distress related to job loss, divorce and exposure to extreme physical and mental adversity			
heart failure		a condition in which the heart can't pump enough blood to meet the body's needs. Either the heart muscle has becomed dilated, or more stiffened			
(Left ventricular ejection fraction) LVEF		percentage of blood ejected from the left ventrical of the heart with every heartbeat. An LVEF of 55% or higher is considered normal			
mental stress-induced ischaemia		myocardial ischemia (insufficient oxygen to the heart) caused by mental or emotional stress			
myocardial infarction (MI)		heart attack; sudden blockage of the flow of oxygen-rich blood to a section of heart muscle			
myocardial ischaemia		occurs when blood flow to your heart is reduced, preventing it from receiving enough oxygen. Can be the result of a partial or complete blockage of your heart's arteries			
prevalence		the proportion of disease found to have been affecting a particular population			
psychological distress		unpleasant feelings or emotions that impact your level of functioning			
stressor		a chemical or biological agent, environmental condition, external stimulus or an event that causes stress to an organism			
tachycardia		tachyarrhythmia; a heart rate that exceeds the normal resting rate, exceeding 100 bpm in adults			
Takotsubo-syndrome		octopus-pot'; stress cardiomyopathy; a temporary syndrome which causes disfunction in heart contractions due to extreme mental stress			
